,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
388,1,28.3,-3.3069172,73.25,-3.089375,73.25
389,1,28.3166667,-3.3074335,73.25,-3.0907826,73.25
390,1,28.3333333,-3.3079498,73.25,-3.0921902,73.25
391,1,28.35,-3.3084661,73.25,-3.0935978,73.25
392,1,28.3666667,-3.3089824,73.25,-3.0950053,73.25
393,1,28.3833333,-3.3094987,73.25,-3.0964129,73.25
394,1,28.4,-3.310015,73.25,-3.0978205,73.25
395,1,28.4166667,-3.3105313,73.25,-3.0992281,73.25
396,1,28.4333333,-3.3110476,73.25,-3.1006357,73.25
397,1,28.45,-3.311564,73.25,-3.1020433,73.25
398,1,28.4666667,-3.3120803,73.25,-3.1034509,73.25
399,1,28.4833333,-3.3125966,73.25,-3.1048584,73.25
400,1,28.5,-3.3131129,73.25,-3.106266,73.25
401,1,28.5166667,-3.3131342,73.25,-3.1074716,73.25
402,1,28.5333333,-3.3131556,73.25,-3.1086772,73.25
403,1,28.55,-3.313177,73.25,-3.1098827,73.25
404,1,28.5666667,-3.3131983,73.25,-3.1110883,73.25
405,1,28.5833333,-3.3132197,73.25,-3.1122939,73.25
406,1,28.6,-3.3121913,73.25,-3.1134994,73.25
407,1,28.6166667,-3.3111628,73.25,-3.114705,73.25
408,1,28.6333333,-3.3101344,73.25,-3.1159105,73.25
409,1,28.65,-3.309106,73.25,-3.1171161,73.25
410,1,28.6666667,-3.3080775,73.25,-3.1183217,73.25
411,1,28.6833333,-3.3070491,73.25,-3.1195272,73.25
412,1,28.7,-3.3060207,73.25,-3.1207328,73.25
413,1,28.7166667,-3.3049922,73.25,-3.1219384,73.25
414,1,28.7333333,-3.3039638,73.25,-3.1231439,73.25
415,1,28.75,-3.3029353,73.25,-3.1243495,73.25
416,1,28.7666667,-3.3019069,73.25,-3.1255551,73.25
417,1,28.7833333,-3.3008785,73.25,-3.1267606,73.25
418,1,28.8,-3.29985,73.25,-3.1279662,73.25
419,1,28.8166667,-3.2988216,73.25,-3.1291718,73.25
420,1,28.8333333,-3.2977932,73.25,-3.1303773,73.25
421,1,28.85,-3.2967647,73.25,-3.1315829,73.25
