,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_raw,EA_diff_B,Travel_time_y
346,1,40.4666667,-3.7224111,91.3333333,,-3.7725295,91.3333333
347,1,40.4833333,-3.7206137,91.3333333,,-3.7726565,91.3333333
348,1,40.5,-3.7188163,91.3333333,,-3.7727836,91.3333333
349,1,40.5166667,-3.7170189,91.3333333,,-3.7729107,91.3333333
350,1,40.5333333,-3.7152215,91.3333333,,-3.7730377,91.3333333
351,1,40.55,-3.7134241,91.3333333,,-3.7731648,91.3333333
352,1,40.5666667,-3.7116267,91.3333333,,-3.7732918,91.3333333
353,1,40.5833333,-3.7098293,91.3333333,,-3.7734189,91.3333333
354,1,40.6,-3.7080319,91.3333333,,-3.7735459,91.3333333
355,1,40.6166667,-3.7062345,91.3333333,,-3.773673,91.3333333
356,1,40.6333333,-3.7044371,91.3333333,,-3.7738001,91.3333333
357,1,40.65,-3.7026397,91.3333333,,-3.7739271,91.3333333
358,1,40.6666667,-3.7008423,91.3333333,,-3.7740542,91.3333333
359,1,40.6833333,-3.6990449,91.3333333,,-3.7741812,91.3333333
360,1,40.7,-3.6972475,91.3333333,,-3.7743083,91.3333333
361,1,40.7166667,-3.6954501,91.3333333,,-3.7744353,91.3333333
362,1,40.7333333,-3.6936527,91.3333333,,-3.7745624,91.3333333
363,1,40.75,-3.6918553,91.3333333,,-3.7746894,91.3333333
364,1,40.7666667,-3.6900579,91.3333333,,-3.7748165,91.3333333
365,1,40.7833333,-3.6882605,91.3333333,,-3.7749436,91.3333333
366,1,40.8,-3.6864631,91.3333333,,-3.7750706,91.3333333
367,1,40.8166667,-3.6846657,91.3333333,,-3.7751977,91.3333333
368,1,40.8333333,-3.6828683,91.3333333,,-3.7753247,91.3333333
369,1,40.85,-3.6810709,91.3333333,,-3.7754518,91.3333333
370,1,40.8666667,-3.6792735,91.3333333,,-3.7755788,91.3333333
371,1,40.8833333,-3.6774761,91.3333333,,-3.7757059,91.3333333
372,1,40.9,-3.6756787,91.3333333,,-3.775833,91.3333333
373,1,40.9166667,-3.6738813,91.3333333,,-3.77596,91.3333333
374,1,40.9333333,-3.6720839,91.3333333,,-3.7760871,91.3333333
375,1,40.95,-3.6702865,91.3333333,,-3.7762141,91.3333333
376,1,40.9666667,-3.6684891,91.3333333,,-3.7763412,91.3333333
377,1,40.9833333,-3.6666917,91.3333333,,-3.7764682,91.3333333
378,1,41.0,-3.6648943,91.3333333,,-3.7765953,91.3333333
