Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
12,22.95,1.4266071,71.6666667,0.5688805,71.6666667
13,22.95,1.7076598,70.6666667,0.7320383,70.6666667
14,22.95,1.9787124,69.6666667,0.8573015,69.6666667
15,22.95,2.2318703,68.6666667,1.0383541,68.6666667
16,22.95,2.4718703,68.6666667,1.2462489,68.6666667
17,22.95,2.7150282,67.6666667,1.4673015,67.6666667
18,22.95,2.9150282,66.6666667,1.6483541,66.6666667
19,22.95,3.169765,66.6666667,1.6546699,66.6666667
20,22.95,3.5050282,65.6666667,1.9104594,65.6666667
21,22.95,3.7302913,65.6666667,2.0557226,65.6666667
1,22.9666667,-1.5980472,80.6666667,-1.6894278,80.6666667
2,22.9666667,-1.3733103,79.6666667,-1.5535068,79.6666667
3,22.9666667,-0.9804156,78.6666667,-1.3335068,78.6666667
4,22.9666667,-0.6721261,77.6666667,-1.1111383,77.6666667
5,22.9666667,-0.4304156,76.6666667,-0.7894278,76.6666667
6,22.9666667,-0.126863,75.6666667,-0.5894278,75.6666667
7,22.9666667,0.1526107,74.6666667,-0.3894278,74.6666667
8,22.9666667,0.3402423,73.6666667,-0.1470594,73.6666667
9,22.9666667,0.6990581,73.6666667,-0.0623226,73.6666667
10,22.9666667,0.9137949,72.6666667,0.1388617,72.6666667
11,22.9666667,1.1226107,71.6666667,0.3388617,71.6666667
12,22.9666667,1.4285318,71.6666667,0.5700459,71.6666667
13,22.9666667,1.709716,70.6666667,0.7335985,70.6666667
14,22.9666667,1.9809002,69.6666667,0.8595195,69.6666667
15,22.9666667,2.2344528,68.6666667,1.0407038,68.6666667
16,22.9666667,2.4744528,68.6666667,1.2483353,68.6666667
17,22.9666667,2.7180055,67.6666667,1.4695195,67.6666667
18,22.9666667,2.9180055,66.6666667,1.6507038,66.6666667
19,22.9666667,3.1720844,66.6666667,1.657809,66.6666667
20,22.9666667,3.5080055,65.6666667,1.9130722,65.6666667
21,22.9666667,3.7339265,65.6666667,2.0589932,65.6666667
1,22.9833333,-1.5979646,80.6666667,-1.689315,80.6666667
2,22.9833333,-1.3727014,79.6666667,-1.5527361,79.6666667
3,22.9833333,-0.9805962,78.6666667,-1.3327361,78.6666667
4,22.9833333,-0.6713857,77.6666667,-1.1101045,77.6666667
5,22.9833333,-0.4305962,76.6666667,-0.789315,76.6666667
6,22.9833333,-0.1266488,75.6666667,-0.589315,75.6666667
