Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_raw,EA_diff_B,Travel_time_y
13,34.8166667,-1.5049858,85.3333333,,-0.6457263,85.3333333
14,34.8166667,-1.1813878,84.3333333,18.4811136,-0.4038842,84.3333333
15,34.8166667,-1.1582943,83.3333333,18.9573674,-0.1838842,83.3333333
16,34.8166667,-0.8370348,82.3333333,19.0328543,0.0542737,82.3333333
17,34.8166667,-0.3704379,82.3333333,19.5129324,0.2461158,82.3333333
18,34.8166667,-0.0238834,81.3333333,19.594645,0.4561158,81.3333333
19,34.8166667,0.1638493,80.3333333,20.0412848,0.6761158,80.3333333
20,34.8166667,0.203826,80.3333333,20.0197528,0.8579579,80.3333333
21,34.8166667,0.1147095,79.3333333,20.2252525,1.0561158,79.3333333
1,34.8333333,-4.3032945,91.3333333,,-4.0385438,91.3333333
2,34.8333333,-4.0011893,91.3333333,,-3.7606491,91.3333333
3,34.8333333,-3.6611893,90.3333333,,-3.4848596,90.3333333
4,34.8333333,-3.359084,90.3333333,,-3.2269649,90.3333333
5,34.8333333,-3.0911893,90.3333333,,-2.9511754,90.3333333
6,34.8333333,-2.8511893,90.3333333,,-2.6711754,90.3333333
7,34.8333333,-2.649084,90.3333333,,-2.3332807,90.3333333
8,34.8333333,-2.3669787,90.3333333,,-2.0611754,90.3333333
9,34.8333333,-2.1669787,89.3333333,,-1.7390702,89.3333333
10,34.8333333,-1.989084,89.3333333,,-1.3969649,89.3333333
11,34.8333333,-1.789084,88.3333333,,-1.1048596,88.3333333
12,34.8333333,-1.6832945,87.3333333,,-0.8648596,87.3333333
13,34.8333333,-1.5032945,85.3333333,,-0.6448596,85.3333333
14,34.8333333,-1.1791123,84.3333333,18.4897656,-0.4027544,84.3333333
15,34.8333333,-1.1576588,83.3333333,18.9658842,-0.1827544,83.3333333
16,34.8333333,-0.8367181,82.3333333,19.0413225,0.0551404,82.3333333
17,34.8333333,-0.3716042,82.3333333,19.5221841,0.2472456,82.3333333
18,34.8333333,-0.024337,81.3333333,19.6036083,0.4572456,81.3333333
19,34.8333333,0.1645599,80.3333333,20.050432,0.6772456,80.3333333
