EA_raw,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
32.4317491,8,48.9333333,-10.9252908,85.9166667,-3.8574185,85.9166667
32.5878688,9,48.9333333,-10.8144435,84.9166667,-3.5274185,84.9166667
33.0439539,10,48.9333333,-10.6825219,84.9166667,-3.2174185,84.9166667
,11,48.9333333,-9.7182989,83.9166667,-3.0485296,83.9166667
,12,48.9333333,-9.4182989,82.9166667,-2.7485296,82.9166667
,13,48.9333333,-9.1171878,80.9166667,-2.4374185,80.9166667
,14,48.9333333,-8.7971878,79.9166667,-2.1585296,79.9166667
,15,48.9333333,-8.4982989,78.9166667,-1.8585296,78.9166667
,16,48.9333333,-8.0982989,78.9166667,-1.5585296,78.9166667
,17,48.9333333,-7.8282989,77.9166667,-1.2785296,77.9166667
,18,48.9333333,-7.47941,78.9166667,-0.9896408,78.9166667
,19,48.9333333,-7.16941,77.9166667,-0.7196408,77.9166667
,20,48.9333333,-6.89941,76.9166667,-0.4285296,76.9166667
,21,48.9333333,-6.5505211,75.9166667,-0.1596408,75.9166667
30.0063038,1,48.95,-13.4867065,90.9166667,-6.3457238,90.9166667
30.1321297,2,48.95,-13.3020973,89.9166667,-5.9757238,89.9166667
30.3770759,3,48.95,-12.7170303,88.9166667,-5.5957238,88.9166667
30.8748607,4,48.95,-12.5975065,88.9166667,-5.2457238,88.9166667
31.1914657,5,48.95,-12.2220041,87.9166667,-4.8864646,87.9166667
31.5684925,6,48.95,-11.8278885,86.9166667,-4.5364646,86.9166667
31.983321,7,48.95,-11.3747289,86.9166667,-4.1964646,86.9166667
32.4413226,8,48.95,-10.9307933,85.9166667,-3.8572053,85.9166667
32.5978428,9,48.95,-10.8189709,84.9166667,-3.5272053,84.9166667
33.0544435,10,48.95,-10.6879305,84.9166667,-3.2172053,84.9166667
,11,48.95,-9.7228665,83.9166667,-3.0479461,83.9166667
,12,48.95,-9.4228665,82.9166667,-2.7479461,82.9166667
,13,48.95,-9.1221258,80.9166667,-2.4372053,80.9166667
,14,48.95,-8.8021258,79.9166667,-2.1579461,79.9166667
,15,48.95,-8.5028665,78.9166667,-1.8579461,78.9166667
,16,48.95,-8.1028665,78.9166667,-1.5579461,78.9166667
,17,48.95,-7.8328665,77.9166667,-1.2779461,77.9166667
,18,48.95,-7.4836073,78.9166667,-0.9886868,78.9166667
,19,48.95,-7.1736073,77.9166667,-0.7186868,77.9166667
,20,48.95,-6.9036073,76.9166667,-0.4279461,76.9166667
,21,48.95,-6.554348,75.9166667,-0.1586868,75.9166667
30.0153799,1,48.9666667,-13.4928941,90.9166667,-6.3462514,90.9166667
30.1413107,2,48.9666667,-13.3072943,89.9166667,-5.9762514,89.9166667
30.3867718,3,48.9666667,-12.7236014,88.9166667,-5.5962514,88.9166667
30.8844504,4,48.9666667,-12.6029541,88.9166667,-5.2462514,88.9166667
31.2009598,5,48.9666667,-12.2271467,87.9166667,-4.8866218,87.9166667
31.5779241,6,48.9666667,-11.8325443,86.9166667,-4.5366218,86.9166667
31.9933757,7,48.9666667,-11.3804301,86.9166667,-4.1966218,86.9166667
32.4508961,8,48.9666667,-10.9362959,85.9166667,-3.8569921,85.9166667
32.6078169,9,48.9666667,-10.8234984,84.9166667,-3.5269921,84.9166667
33.0649331,10,48.9666667,-10.6933391,84.9166667,-3.2169921,84.9166667
,11,48.9666667,-9.7274341,83.9166667,-3.0473625,83.9166667
,12,48.9666667,-9.4274341,82.9166667,-2.7473625,82.9166667
,13,48.9666667,-9.1270638,80.9166667,-2.4369921,80.9166667
,14,48.9666667,-8.8070638,79.9166667,-2.1573625,79.9166667
,15,48.9666667,-8.5074341,78.9166667,-1.8573625,78.9166667
,16,48.9666667,-8.1074341,78.9166667,-1.5573625,78.9166667
,17,48.9666667,-7.8374341,77.9166667,-1.2773625,77.9166667
,18,48.9666667,-7.4878045,78.9166667,-0.9877329,78.9166667
,19,48.9666667,-7.1778045,77.9166667,-0.7177329,77.9166667
,20,48.9666667,-6.9078045,76.9166667,-0.4273625,76.9166667
,21,48.9666667,-6.5581749,75.9166667,-0.1577329,75.9166667
30.0244559,1,48.9833333,-13.4990818,90.9166667,-6.3467789,90.9166667
30.1504917,2,48.9833333,-13.3124913,89.9166667,-5.9767789,89.9166667
30.3964678,3,48.9833333,-12.7301725,88.9166667,-5.5967789,88.9166667
30.8940402,4,48.9833333,-12.6084018,88.9166667,-5.2467789,88.9166667
31.2104539,5,48.9833333,-12.2322892,87.9166667,-4.8867789,87.9166667
31.5873557,6,48.9833333,-11.8372,86.9166667,-4.5367789,86.9166667
32.0034305,7,48.9833333,-11.3861313,86.9166667,-4.1967789,86.9166667
32.4604695,8,48.9833333,-10.9417985,85.9166667,-3.8567789,85.9166667
32.6177909,9,48.9833333,-10.8280259,84.9166667,-3.5267789,84.9166667
33.0754227,10,48.9833333,-10.6987476,84.9166667,-3.2167789,84.9166667
,11,48.9833333,-9.7320018,83.9166667,-3.0467789,83.9166667
,12,48.9833333,-9.4320018,82.9166667,-2.7467789,82.9166667
,13,48.9833333,-9.1320018,80.9166667,-2.4367789,80.9166667
,14,48.9833333,-8.8120018,79.9166667,-2.1567789,79.9166667
,15,48.9833333,-8.5120018,78.9166667,-1.8567789,78.9166667
,16,48.9833333,-8.1120018,78.9166667,-1.5567789,78.9166667
,17,48.9833333,-7.8420018,77.9166667,-1.2767789,77.9166667
,18,48.9833333,-7.4920018,78.9166667,-0.9867789,78.9166667
,19,48.9833333,-7.1820018,77.9166667,-0.7167789,77.9166667
,20,48.9833333,-6.9120018,76.9166667,-0.4267789,76.9166667
,21,48.9833333,-6.5620018,75.9166667,-0.1567789,75.9166667
30.0335319,1,49.0,-13.5052694,90.9166667,-6.3473635,90.9166667
30.1596727,2,49.0,-13.3176883,89.9166667,-5.9769788,89.9166667
30.4061637,3,49.0,-12.7367436,88.9166667,-5.5965942,88.9166667
30.9036299,4,49.0,-12.6138494,88.9166667,-5.2465942,88.9166667
31.219948,5,49.0,-12.2374318,87.9166667,-4.8865942,87.9166667
31.5967873,6,49.0,-11.8418557,86.9166667,-4.5365942,86.9166667
32.0134853,7,49.0,-11.3918325,86.9166667,-4.1965942,86.9166667
32.470043,8,49.0,-10.9473011,85.9166667,-3.8562096,85.9166667
32.6277649,9,49.0,-10.8325533,84.9166667,-3.5262096,84.9166667
