Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
5,26.7333333,-5.2141507,87.9166667,-3.3516941,87.9166667
6,26.7333333,-4.9863994,86.9166667,-3.0894719,86.9166667
7,26.7333333,-4.5798325,86.9166667,-2.8516941,86.9166667
8,26.7333333,-4.2656039,85.9166667,-2.6194719,85.9166667
9,26.7333333,-3.9957854,84.9166667,-2.3694719,84.9166667
10,26.7333333,-3.741621,84.9166667,-2.2016941,84.9166667
11,26.7333333,-3.5018432,83.9166667,-2.1094719,83.9166667
12,26.7333333,-3.2918432,82.9166667,-1.9016941,82.9166667
13,26.7333333,-3.0740654,80.9166667,-1.6916941,80.9166667
14,26.7333333,-2.8640654,79.9166667,-1.5116941,79.9166667
15,26.7333333,-2.6440654,78.9166667,-1.3116941,78.9166667
16,26.7333333,-2.3940654,78.9166667,-1.1216941,78.9166667
17,26.7333333,-2.1862877,77.9166667,-0.9516941,77.9166667
18,26.7333333,-1.9762877,78.9166667,-0.7616941,78.9166667
19,26.7333333,-1.7585099,77.9166667,-0.6016941,77.9166667
20,26.7333333,-1.5485099,76.9166667,-0.4339163,76.9166667
21,26.7333333,-1.3485099,75.9166667,-0.2639163,75.9166667
1,26.75,-6.0262762,90.9166667,-4.278853,90.9166667
2,26.75,-5.7762261,89.9166667,-3.998853,89.9166667
3,26.75,-5.5304945,88.9166667,-3.758853,88.9166667
4,26.75,-5.2364335,88.9166667,-3.5207049,88.9166667
5,26.75,-5.2183064,87.9166667,-3.3525567,87.9166667
6,26.75,-4.9893644,86.9166667,-3.0907049,86.9166667
7,26.75,-4.5822087,86.9166667,-2.8525567,86.9166667
8,26.75,-4.2695415,85.9166667,-2.6207049,85.9166667
9,26.75,-3.998969,84.9166667,-2.3707049,84.9166667
10,26.75,-3.7452148,84.9166667,-2.2025567,84.9166667
11,26.75,-3.5057524,83.9166667,-2.1107049,83.9166667
12,26.75,-3.2957524,82.9166667,-1.9025567,82.9166667
13,26.75,-3.0776042,80.9166667,-1.6925567,80.9166667
14,26.75,-2.8676042,79.9166667,-1.5125567,79.9166667
15,26.75,-2.6476042,78.9166667,-1.3125567,78.9166667
16,26.75,-2.3976042,78.9166667,-1.1225567,78.9166667
17,26.75,-2.1894561,77.9166667,-0.9525567,77.9166667
18,26.75,-1.9794561,78.9166667,-0.7625567,78.9166667
19,26.75,-1.7613079,77.9166667,-0.6025567,77.9166667
20,26.75,-1.5513079,76.9166667,-0.4344086,76.9166667
21,26.75,-1.3513079,75.9166667,-0.2644086,75.9166667
1,26.7666667,-6.0313292,90.9166667,-4.2804564,90.9166667
2,26.7666667,-5.7805831,89.9166667,-4.0004564,89.9166667
3,26.7666667,-5.53521,88.9166667,-3.7604564,88.9166667
4,26.7666667,-5.2418475,88.9166667,-3.5219378,88.9166667
5,26.7666667,-5.2224622,87.9166667,-3.3534193,87.9166667
6,26.7666667,-4.9923295,86.9166667,-3.0919378,86.9166667
7,26.7666667,-4.5845848,86.9166667,-2.8534193,86.9166667
8,26.7666667,-4.2734791,85.9166667,-2.6219378,85.9166667
9,26.7666667,-4.0021526,84.9166667,-2.3719378,84.9166667
10,26.7666667,-3.7488086,84.9166667,-2.2034193,84.9166667
11,26.7666667,-3.5096615,83.9166667,-2.1119378,83.9166667
12,26.7666667,-3.2996615,82.9166667,-1.9034193,82.9166667
13,26.7666667,-3.081143,80.9166667,-1.6934193,80.9166667
14,26.7666667,-2.871143,79.9166667,-1.5134193,79.9166667
15,26.7666667,-2.651143,78.9166667,-1.3134193,78.9166667
